2023/03/14 12:47:54 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Groves, Kaden', '401.0', '2023/03/14 12:47:51')
2023/03/14 12:47:54 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Guerreiro, Ruben', '401.0', '2023/03/14 12:47:51')
2023/03/14 12:47:54 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Haller, Marco', '501.0', '2023/03/14 12:47:51')
2023/03/14 12:47:54 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Hayter, Ethan', '201.0', '2023/03/14 12:47:51')
2023/03/14 12:47:54 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Hayter, Leo', '501.0', '2023/03/14 12:47:51')
2023/03/14 12:47:54 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Heiduk, Kim', '601.0', '2023/03/14 12:47:51')
2023/03/14 12:47:55 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Hermans, Quinten', '151.0', '2023/03/14 12:47:51')
2023/03/14 12:47:55 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Herrada, Jesus', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:55 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Higuita, Sergio', '151.0', '2023/03/14 12:47:51')
2023/03/14 12:47:55 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Honore, Mikkel Frølich', '151.0', '2023/03/14 12:47:51')
2023/03/14 12:47:55 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Hoole, Daan', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:55 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Houle, Hugo', '501.0', '2023/03/14 12:47:51')
2023/03/14 12:47:55 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Impey, Daryl', '501.0', '2023/03/14 12:47:51')
2023/03/14 12:47:55 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Jakobsen, Fabio', '251.0', '2023/03/14 12:47:51')
2023/03/14 12:47:55 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Janse van Rensburg, Reinardt', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:55 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Jansen, Amund Grondahl', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:55 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Jensen, Mattias Skjelmose', '251.0', '2023/03/14 12:47:51')
2023/03/14 12:47:55 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Johannessen, Tobias', '401.0', '2023/03/14 12:47:51')
2023/03/14 12:47:55 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Johansen, Julius', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:55 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Jorgenson, Matteo', '501.0', '2023/03/14 12:47:51')
2023/03/14 12:47:55 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Kanter, Max', '401.0', '2023/03/14 12:47:51')
2023/03/14 12:47:55 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Keukeleire, Jens', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:55 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Kirsch, Alex', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:55 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Kooij, Olav', '81.0', '2023/03/14 12:47:51')
2023/03/14 12:47:55 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Kragh Andersen, Soren', '21.0', '2023/03/14 12:47:51')
2023/03/14 12:47:55 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Krieger, Alexander', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:55 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Kron, Andreas', '201.0', '2023/03/14 12:47:51')
2023/03/14 12:47:55 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Kwiatkowski, Michal', '201.0', '2023/03/14 12:47:51')
2023/03/14 12:47:56 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Küng, Stefan', '301.0', '2023/03/14 12:47:51')
2023/03/14 12:47:56 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Lampaert, Yves', '501.0', '2023/03/14 12:47:51')
2023/03/14 12:47:56 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Laporte, Christophe', '26.0', '2023/03/14 12:47:51')
2023/03/14 12:47:56 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Louvel, Matis', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:56 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Lutsenko, Alexey', '401.0', '2023/03/14 12:47:51')
2023/03/14 12:47:56 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Madouas, Valentin', '101.0', '2023/03/14 12:47:51')
2023/03/14 12:47:56 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Mareczko, Jakub', '601.0', '2023/03/14 12:47:51')
2023/03/14 12:47:56 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Masnada, Fausto', '501.0', '2023/03/14 12:47:51')
2023/03/14 12:47:56 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Matthews, Michael', '34.0', '2023/03/14 12:47:51')
2023/03/14 12:47:56 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Meeus, Jordi', '251.0', '2023/03/14 12:47:51')
2023/03/14 12:47:56 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Merlier, Tim', '101.0', '2023/03/14 12:47:51')
2023/03/14 12:47:56 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Meurisse, Xandro', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:56 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Mezgec, Luka', '601.0', '2023/03/14 12:47:51')
2023/03/14 12:47:56 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Miholjevic, Fran', '601.0', '2023/03/14 12:47:51')
2023/03/14 12:47:56 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Milan, Jonathan', '67.0', '2023/03/14 12:47:51')
2023/03/14 12:47:56 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Modolo, Sacha', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:56 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Mohoric, Matej', '12.0', '2023/03/14 12:47:51')
2023/03/14 12:47:56 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Molano, Juan Sebastian', '401.0', '2023/03/14 12:47:51')
2023/03/14 12:47:56 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Molard, Rudy', '601.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Moschetti, Matteo', '401.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Mørkøv, Michael', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Naesen, Oliver', '401.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Narvaez, Jhonathan', '301.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Neilands, Krists', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Nizzolo, Giacomo', '81.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', "O'Brien, Kelland", '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Oldani, Stefano', '601.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Oss, Daniel', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Page, Hugo', '501.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Pasqualon, Andrea', '401.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Pedersen, Casper', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Pedersen, Mads', '15.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Penhoet, Paul', '501.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Philipsen, Jasper', '21.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Piccolo, Andrea', '401.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Pidcock, Tom', '21.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Planckaert, Baptiste', '601.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Plapp, Luke', '601.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Pogacar, Tadej', '7.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Politt, Nils', '601.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Quinn, Sean', '401.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Restrepo, Jhonatan', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:57 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Rodriguez, Carlos', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:58 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Rojas, José Joaquín', '1001.0', '2023/03/14 12:47:51')
2023/03/14 12:47:58 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Roosen, Timo', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:58 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Rota, Lorenzo', '301.0', '2023/03/14 12:47:51')
2023/03/14 12:47:58 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Sagan, Peter', '101.0', '2023/03/14 12:47:51')
2023/03/14 12:47:58 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Sbaragli, Kristian', '801.0', '2023/03/14 12:47:51')
2023/03/14 12:47:58 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Schachmann, Maximilian', '501.0', '2023/03/14 12:47:51')
2023/03/14 12:47:58 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Senechal, Florian', '251.0', '2023/03/14 12:47:51')
2023/03/14 12:47:58 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Serrano, Gonzalo', '401.0', '2023/03/14 12:47:51')
2023/03/14 12:47:58 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Sheffield, Magnus', '101.0', '2023/03/14 12:47:51')
2023/03/14 12:47:58 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Simmons, Quinn', '126.0', '2023/03/14 12:47:51')
2023/03/14 12:47:58 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Skujins, Toms', '601.0', '2023/03/14 12:47:51')
2023/03/14 12:47:58 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Smith, Dion', '401.0', '2023/03/14 12:47:51')
2023/03/14 12:47:58 - Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Stannard, Robert', '801.0', '2023/03/14 12:47:51')
